Comment	Comment Reply
Bahut badhiya 👍💯😍😍	Dhanyawad. 
🎉🎉❤❤	Thanks! 
Very good ❤🎉	Thanks 
Me aapke yha se stock lene aunga sir.......	जी ज़रूर, आपका हार्दिक स्वागत है। आप संपर्क कर सकते हैं। हमारी सेल्स एग्जीक्यूटिव टीम आपकी सहायता करेगी। 
Jai Hind Sir🎉🎉🎉❤❤❤	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Hello sir may Jharkhand se Ramsingh Bhengra Dekh raha hu may Bhi Bisnec karna  chata hu.	हाँ ज़रूर, आप अपना बिजनेस शुरू कर सकते हैं। हम आपको बिजनेस की पूरी जानकारी देंगे। 
Aap ki video hamesha dekhta hu bahut achcha lagta he or aap ko dekh kar business karne ka man karta he	जी, बहुत-बहुत धन्यवाद। हमें यह जानकर बेहद खुशी हुई कि आपने हमसे प्रेरित होकर बिजनेस शुरू करने की सोची। हम आपको बिजनेस की पूरी जानकारी देंगे। 
Congratulations,Neha	Thank you. For more information, please contact us. 
सर जी सादर प्रणाम, हमारे तरफ ग्राहक मोल भाव कर ही खरीदी करते है, इस पर हमे क्या करना चाहिए जी।	नमस्ते! आपकी समस्या के समाधान के लिए, हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
superrrrr sir	जी धन्यवाद। किसी भी जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
Excellent strategy	Thanks 
Sir ji ham bhi businesses karana chahate hai,,ham assam se bol Raha hu,,ham bhi middle class se belong Karti hu,,saari ki businesses karana chahate hai..eske liye kiya kiya karana hai,,aap bataye jara	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं. हम इस काम में आपकी पूरी मदद करेंगे. कृपया हमसे संपर्क करें. विस्तार से आपको पूरा प्रोसेस बताया जायेगा. हमें यह जानकर बेहद खुशी हुई कि आपने हमसे प्रेरित होकर बिजनेस शुरू करने की सोची, हम आपको बिजनेस की पूरी जानकारी देंगे। 
Sir Mujhe bhi y business krna h aapki help chahiye mai uttarakhand haridwar se hu	Ji, bilkul, aap apna business shuru karein. Aapko hamara pura support milega. Business ki jankari ke liye aap hamare sales executive se sampark kar sakte hain. Dhanyavad. 
भाई साहब लेडीज सूट का होल सेल का वीडियो बनाएं	जी जरूर, हम वो वीडियो भी बनाएंगे। धन्यवाद। 
Sirf Hindu भाई से माल लेना का	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sir feriwala. Pe printed saree ka vidio banav sir g Or mera yek saval hai  प्रिंट saree pe jo lesc lagti hai oahi saree bana lesc ki kitne me melegi ap ke pass please reply jarur dijiyega sir form Maharashtra	जी, ज़रूर। हम उस वीडियो को भी बनाएंगे। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mujhe kam Krna hai	जी, ज़रूर। आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें। धन्यवाद। 
❤❤❤❤❤❤❤bilkul right sair yes ❤❤❤❤	धन्यवाद सर। अधिक जानकारी के लिए संपर्क करें। 
शानदार	जी धन्यवाद। जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
Thanks for knowledge sir	Most welcome. For more information, you can contact us. Thank you. 
Sir ji mai bhi kl shope ki opning kr di hai 🎉🎉🎉prema fashion ❤❤ke name se ..sir bahut jald aap ke yha aana hai ❤❤sir aap ki vajah se hi open Kiya hai sir please support ❤❤❤❤❤🎉🎉🎉	Ji, aapki nai dukaan ke liye bahut shubhkamnaayein. Hamari team aapki puri madad karegi. 
Hello sir mera investment 4 ya 5 lakhs  hai main sarre ki dukan achhi khul jayegi	जी, ज़रूर। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Ajay Ajmera sar humko bahut achcha Laga bahut achcha hai kya adbhut adbhut hai	जी शुक्रिया। अधिक जानकारी के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Aapka bahut bahut good idea sir	Ji, bahut bahut dhanyavaad. 
Ajay sir nice ajmera fashion surat	Thanks. We appreciate your comment! 
Nice 👍🏻	Thanks 
Graeat sar	Thank you. 
Thank you sir bahot acche se samjhaya mai tailor hun our mujhe bhi kapda bechne ka business kerna hai  mai app ki bahotsari vedios dekhti rahti hun thanks🙏	जी, आपका स्वागत है। अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
Sar apse zarur milunga..	Ji, zaroor, aapka hardik swagat hai. 
Sunday	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Thank u sar	You're welcome. 
hiiii sir me bhi  sadhi ki dukan kholna chati hu plz help mal kese magwaye	आपको हमारा पूरा सहयोग मिलेगा। आप कम से कम रकम से भी यह बिज़नेस शुरू कर सकते हैं। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। ऑर्डर कैसे प्लेस करें, इसकी सारी जानकारी आपको मिलेगी। 
I love my Dream...Dream it and just do it....	Bilkul hona chahiye. 
Sir ji .. me aap ki video  at first  facebook  me dekhi thi.. mei Westbengal se dekh rei hu aap ko.. aap ki bato se me bht motivated hui hu.. Me ek housewife hu .. Mujhe bhi kuch krna he.. Me clothing business krna chahti hu.. But mujhe utni idea nei he .. kya aap mujhe help koroge??	हाँ जरूर, हमारी टीम आपकी पूरी मदद करेगी। हाउसवाइफ होना बहुत गर्व की बात है। आप चाहें तो क्या नहीं कर सकती हैं। ऑनलाइन खरीदने के बारे में अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Sir ji 7 hi points jabardast hai	जी शुक्रिया। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
सर जी हम भी कपड़े का दुकान खोलना चाहता हु प्लीज सर आप से बात करना चाहता हु ,आप का नम्बर कैसे मिलेगा	यह जानकर खुशी हुई कि आप कपड़ों का व्यवसाय शुरू करना चाहते हैं। हम इस काम में आपकी पूरी मदद करेंगे। कृपया हमें संपर्क करें। विस्तार से आपको पूरी प्रक्रिया बताई जाएगी। 
Didi  hai	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mujhe suru se hi business karna hai lekin yahi sab reason ke kaaran hm apne business me safal nhi ho pa rhe h  I LOVE MY DREAMS👍	हम आपको बिज़नेस की जानकारी के लिए हमारे सेल्स एग्जीक्यूटिव से संपर्क करने का सुझाव देते हैं। धन्यवाद। 
Kha se milega mal	You can visit our address: Ajmera Fashion Limited., G-1, Ground Floor, Surana 101, Sahara Darwaja, Ring Road, Surat, Gujarat - 395002. For further information, you may contact us. 
Jai maa bharat....	Jai mata di 🙏 
❤❤❤❤❤❤❤❤❤❤❤❤❤	Thanks. 
Sir aap apna parsanal mo no send kijiye plz	ज़रूर, अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
सर जी हमको भी करना है	हाँ, ज़रूर, आप शुरू कर सकते हैं। 
Tq🎉	Welcome. 
Thnk sar	Welcome. 
Its true ❤❤❤❤❤❤❤	Thanks for your appreciation! 
सऱ आप  बिज़नेस  के  जादग़ऱ  है	नमस्ते, आपकी जानकारी के लिए हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Sir aap bahut acchi baate batate love you sir	Ji, bahut bahut dhanyavaad sir. 
I am interested ❤	Thank you for your interest. 
नमस्कार  सर	नमस्ते, जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sadi ka kam krna hai	जी, ज़रूर। बिजनेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Hiii Sir hamne ek garment shuru kiya hei hamare १५ mashin hei ham shirt stitching krte hei hame mujhe mera kaam orr uper lekar jana chahte hai, mujhe kuch stiching ke kaam mil sakte hai khy	आपके काम को ऊपर ले जाने के लिए, हम आपको बिना काम किए ही व्यवसाय के बारे में जानकारी प्रदान कर सकते हैं। 
Happy birthday Sir 🙏🙏	Thank you! 
Hii sir Hamen bhi business karna hai Kripya Hamen bataen ki Yahan per suti cotton Rajputi dress kitne mein aur kaise Milenge Please iski range bataen aur Hamen guide Karen	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Thank you sir motivate krne k liy	Most welcome. Contact us for more information. 
Sir Mai aapki video 5 years se dekhati hu pr kya karu sureu nahi Kar pa rahi hu	हमें यह जानकर बेहद खुशी हुई कि आपने हमसे प्रेरित होकर बिजनेस शुरू करने की सोची। हम आपको बिजनेस की जानकारी देने में मदद करेंगे। अपनी परेशानी के बारे में बताएं, ताकि हम आपकी मदद कर सकें। 
Sir Mere pas v Abhi money problem hai Lekin, Abhi Naukri kar raha hu kuch Paisa ho Jaye to mujhe v start karna hai business.	Ji, bilkul. Aap apna business shuru kar sakte hain. Hum aapko poora support denge. 
Thank ❤❤❤❤❤	Most welcome. 
Men shirt में brand का low range का बेचना चाहता हूं मतलब कि 150 rupee तक में brand का shirt किस manufacturer के यहां मिलेगा, address क्या है, कृपया मार्गदर्शन कीजिए	हमारे पास हर तरह के कपड़े उपलब्ध हैं। कृपया अपनी आवश्यकताएं बताएं, हम आपकी पूरी मदद करेंगे। 
Sir mujhe bhi business bata do	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
सर नमस्कार में काठमाडौं से हूं Next month में सुरत आना चाहता हूं by train.... और छोटा मोटा कपडाका व्यापार करना  चाहता हु  आपका थोडा डाइरेक्सन चाहिए	जी, ज़रूर। आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क कर सकते हैं। धन्यवाद। 
Sar karba chauth me lal saree kyo	नमस्ते, आपकी पूछताछ के लिए धन्यवाद। हमारी टीम आपकी सहायता के लिए तैयार है। 
🎉🎉🎉🎉❤❤❤	Thanks. 
sir mujhe bas gown me bssness karna hai 1 lakh ka bujt hai so pleas you can guyde me	Aapko hamara pura support milega, aap apna business shuru karein. 
Rat. Ka. Sath. Pdf. 0.sa.14.yers	जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Naha gi	नमस्ते, किसी भी जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
10 muskurake vida kijiye	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mai gulf me 8 year se job kr raha ho but koyee saving nhi h or mai India aa ke  business karna chahta ho thanks sir 👍👍	Most welcome. You can certainly start your business. We will provide you with complete business information. Please contact our sales executive for details. Thank you. 
Mai aapsa milna ka liya auga Gujarat	जी ज़रूर, आपका हार्दिक स्वागत है। आप संपर्क कर सकते हैं। हमारी सेल्स एग्जीक्यूटिव टीम आपकी सहायता करेगी। 
Aaj pheli baar itnaa lajawab collection	जी शुक्रिया। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir dukan me ek kaam rakh na kaisa h please ek video banade is par	जी जरूर, हम उस पर भी वीडियो बनाएंगे। 
Love you sir.	😇😊 
Good morning Ajay sar good collection good Neha	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Mujhe redimat folding par sell karna hai kitna punji lagana hoga please bataiye sir	आप कम से कम २०,००० से २५,००० का कपड़ा मंगवा सकते हैं। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Mujhe Sadi ka business karna hai	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं। हम इस काम में आपकी पूरी मदद करेंगे। कृपया हमसे संपर्क करें। विस्तार से आपको पूरी प्रक्रिया बताई जाएगी। 
Single piss mil sakta hai	No, sir, we only offer wholesale. 
Thanks  very true	You're welcome. 
Bahut shandar	Dhanyawad. 
Bahut.jald.hambhi.aa.rahe.he.ajmera.fasn	जी ज़रूर, आपका हार्दिक स्वागत है। हमारे सेल्स एग्जीक्यूटिव टीम आपकी सहायता करेगी। 
Sir you are awesome❤	Thanks. 
Well Achievement keep it up please	हाँ, ज़रूर। किसी भी प्रकार की जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Hlo ji	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
एक दम सही बात ❤❤❤❤	Dhanyawad. 
Sir Mera Name Balvant Raj hai Mai UP Ballia se hu 21 ko aa rha hu aap se milna hai	जी, आपका स्वागत है। आप संपर्क कर सकते हैं। हमारी सेल्स टीम आपकी सहायता करेगी। 
Poppatbhai is an angel but Ajmerabhai even you are an angel . God Blesss you both	Thank you. 
✅✅✅✅✅✅✅✅✅	Thank you. 
Thank u sar aapka kaido pasand aaya sar	Most welcome. 
Ajay sir 🙏.	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir number chahiye ❤	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
I love my dream ❤👍	Bilkul, khushi hui aapko pasand aaya. 
Absolutely right sir ❤thank you so much ❤❤	Most welcome. Please contact us if you need any information. Thank you. 
Sir mai kapde ka business karna chahta hu mere pass abhi budget kam hai but mai feriwale se start karna chahta hu aapke ajmera fashion ke kapde se yah kitna sahi rahega ya fir mujhe budget banane tak wait karna padega	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं। हम इस काम में आपकी पूरी मदद करेंगे। आपको पूरा प्रोसेस बताया जाएगा। 
सर में  राजेश	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Sadi k liae 20k Tak ki alag alag Sadi milegi to ham aaee lene k liae set to set nahi pasand aaae vohi lege	आपकी आवश्यकता के अनुसार साड़ियों की विस्तृत जानकारी के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Bhopal  sne 🙏	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Assam rural area tak transport ayega sir?	हाँ, ज़रूर। ट्रांसपोर्टेशन के बारे में जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mens wear ka kam punji me business  lagbhag kitne se start ho jayega please reply me sir 🙏	आप कम से कम २०,००० से २५,००० का कपडा मंगवा सकते है। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
I love my dreams sir me appani kurti ki manufactring shru kerna chati hu surat ki kis dukan se fabric lu help me jo kam rane se strart ho	ज़रूर, आपको बिज़नेस के बारे में जानकारी मिल सकती है। अधिक जानकारी के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Sir mai bhi kam karna hai tasta dikhye 🙏🙏🙏	हमारे पास हर तरह के कपड़े उपलब्ध हैं, सस्ते से लेकर महंगे तक। कृपया अपनी आवश्यकताएं बताएं, हम आपकी पूरी मदद करेंगे। 
Aapko maloom nahin popat Bhai aapki bahut lakhon Mitra hai Jaise main Jay Hind Jay Bharat vande Mataram	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
सर मैं आपके सारे वीडियो देखते हैं   जिला बलिया   यूपी में आज सुबह नहीं देखें	धन्यवाद सर। 
Good speech sir miss you	Thank you so much. 
4000 rs	उत्पाद की कीमत जानने के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
From the state M.P,	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Namaste sir. Thank you for ur suggestion. Mein cuttack, odisha se hun. Mein ghara mein biss pachis hajar se apni saree ka business start karna chahti hun. Can you help me sir.	Sure ma’am, you can start. For business information, please contact our sales executive. Thank you. 
Koi help krne wala nhi h sir please help me kaise kru m buisness ki 10 se 20 bdha sku income	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं. हम इस काम में आपकी भी पूरी मदद करेंगे. कृपया हमें कॉल करें. विस्तार से आपको पूरा प्रोसेस बताया जायेगा. आप कम से कम २०,००० से २५,००० का कपड़ा मंगवा सकते है। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। 
Sar mujhe bhi kholna hai Sadi ki dukaan mein Jaunpur se hun kaise kholen kya aap mujhe Sadi denge balveer Kitna rate rahega	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Hello Ajay Ajmera Ajay sar Radhe Radhe main kshatrani antima Singh MP se hun mujhe bhi Sadi aur matching ki shop dalni hai shop banva rahi hun sar aapke yahan aana hai	जी ज़रूर, आपका हार्दिक स्वागत है।  आप संपर्क कर सकते हैं। हमारी सेल्स टीम आपकी सहायता करेगी। 
Jay jhulelal 🙏🏻🙏🏻	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sir aap kam se kam kitne ka mal dete ho towel me	आप कम से कम ₹20,000 से ₹25,000 का माल मंगवा सकते हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
👍🏽	Thanks 
want start a franchise shore in bhubaneswar odisha	फ्रेंचाइजी के बारे में जानकारी के लिए संपर्क करें। 
Sir apke oha jaunga me	जी जरूर, अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
Your great sir	Thank you. 
,,🎉	Thanks for your interest! 
Ok sir you ara right 👍▶️	Thanks. 
Single saree , suit and lehnga le sakte hai kya aapke yaha se...visit karke....	No, we only offer wholesale. 
Bhut badiya laga sir  Hame bhi kapdey ka business karna hai  Mai Khalilabad sant Kabir Nagar Uttar Pradesh se	हमें खुशी है कि आप कपड़ों का व्यवसाय शुरू करना चाहते हैं। हम इस काम में आपकी पूरी मदद करेंगे। कृपया हमसे संपर्क करें। धन्यवाद। 
I like you sir 👍	Thanks. 
Sir shuruaat mein business Kitna se start karna chahie	आप कम से कम २०,००० से २५,००० का कपडा मंगवा सकते हैं। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir main sadi ka pheri bala Bijness karna chahta hun please marg darshan karne ki kripa kare	हां, ज़रूर। आप अपना बिजनेस शुरू करें। हम आपको व्यवसाय की पूरी जानकारी देंगे। 
सर हमने आपका एक वीडियो देखा या मुझे आपका बोलने का अंदाज़ या बट्ट बनाने तक हमको बहुत अच्छा लगा सर हमको आपस में मिलने का मन कर रहा है कैसे हो पायेगा सर हम लुधियाना में कपड़े की फैक्ट्री में हैं लगे हुए हैं क्या हमें आपस में मिलने का मौका मिल सकता है क्या आपका किमती पैसा मुझे मिल सकता है...सर....	जी, धन्यवाद। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
Sir please apase batha karana hai sir mai bi business karana chata hu please 🙏 sir	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। मिनिमम आर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें। धन्यवाद। 
Bahut hi achha real motivation hai sir 👌. Apko bahut bahut Dhanyawad 🙏	जी, धन्यवाद। 
Hello sir kids wear 5000 tak order online kr sakte h	आप कम से कम ₹20,000 से ₹25,000 का कपडा मंगवा सकते है। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Mujhe aap ke sari bate pasand aai	जी धन्यवाद। अधिक जानकारी के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। 
Sir apne yah Job de dijiye plz sir	हम आपको नौकरी देने का वादा नहीं कर सकते, लेकिन व्यवसाय के बारे में सारी जानकारी आपको मिल जाएगी। अधिक जानकारी के लिए संपर्क करें। 
Sar main aapki pura video dekhti hun achcha lagta hai sunkar dekhkar❤	जी धन्यवाद। आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
सर मैं उत्तर प्रदेश का रहने वाला है और पुणे में काम कर रहा था लेकिन लेकिन इधर अभी कभी-कभी काम नहीं चलता है तो घर पर पैसा की बहुत दिक्कत हो जाती है इसीलिए मैं सोच रहा हूं गांव की दुकान खोलने का तो सर अभी मैं बिजनेस के बारे में कुछ नहीं जानता हूं इसलिए आपका वीडियो देखता हूं रोज और आप जो जो भी बातें करते हैं उसे एक नोटबुक में लिखकर रखता हूं तो सर प्लीज पर्सनली मुझे थोड़ा आप बिजनेस आइडिया दे सकते हैं दुकान कैसे खोले कैसे चलाएं ग्राहक से कैसे बातें करें कि मैं भी उतना मुझे मालूम नहीं है सर मैं छोटा अभी छोटा हूं इसलिए आप ही का वीडियो देख कर मैं इंस्पायर हुआ हूं इसलिए अभी बिजनेस करना चाहता हूं please sar please please	हाँ, ज़रूर। हम आपको व्यवसाय की पूरी जानकारी देने में सहायता करेंगे। हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Azim prem g ki jiwni pr v video banaye aap ki bat sebahut motivation milta h thax g	जी, ज़रूर। हम वह वीडियो भी बनाएंगे। अधिक जानकारी के लिए आप हमारे सेल्स एक्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Hello sir ji hamen ghr se business start Kiya hai aur aaspaas ke jo gaon hai usmein bahut achcha chalta bhi hai aur aap Mera Sapna hai ki mera khud ka shop Ho	Ji, bilkul. Aap apna khud ka business shuru kar sakte hain. Hum aapko business ki puri jankari denge. 
Janm din ki dher sari shubh kamana sir bhagwan apako tarakki den	आपकी शुभकामनाओ के लिए तहे दिल से धन्यवाद। 
Sir print saree kitne me milti hai or vahi saree lesc laga ke kitne me milti hai please yek विडिओ bana dijiye	उत्पाद के मूल्य के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। हम वह वीडियो भी बनाएंगे। अधिक जानकारी के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Sahi😢	Dhanyawad sir. 
my name is Diya tyagi ,Sir aapse baat ho skti he	जी, बिल्कुल। आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
मै भी आऊंगा 1 दिन ❤	Ji, aane ke liye hardik swagat hai. 
Mujhe kuch rasta dikhaiye sir mei kya kru	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Hii🙏	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊	Thanks! 
Address kaha h number chahiye bat karna h	Ajmera Fashion Limited. is located at: G-1, Ground Floor, Surana 101, Sahara Darwaja, Ring Road, Surat, Gujarat - 395002 
Bahut achcha sir❤❤❤ Love you 😘	आपके सहयोग और विश्वास के लिए धन्यवाद। यदि आप हमारा कलेक्शन देखना चाहते हैं या हमसे बात करना चाहते हैं, तो आप संपर्क कर सकते हैं। धन्यवाद। 
Jay Jagannath ❤	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir humko bhi karna hai please help karna	जी, ज़रूर। आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए, आप हमारी सेल्स टीम से संपर्क कर सकते हैं। धन्यवाद। 
Jay Shri Ram	Jai shree ram 
Mai Bihar se hu sar mai business karna chahate hai sar	Ha, zaroor. Aap apna business shuru kar sakte hain. Ham aapko business ki puri jankari denge. 
Me bhi odisha se Hun Bhai	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Move my dreams	Ji haan, zaroor. 
उत्तराखंड देवभूमि वाले लाइक करो ❤👍🏻	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
मैं मेवाड़ी हूँ❤	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
सर्दी में विजयलक्ष्मी माथुर छत्तीसगढ़ बिलासपुर से बात कर रही हूं सर जी में साड़ी सेंटर खोलना चाहती हूं आप मुझे मार्गदर्शन दे और मैं कहां से महिलाओं यह भी मुझे बताएं मैं फोन में बात कर सकती हूं क्या	हम आपको पूरी सहायता करेंगे। आप कम निवेश से भी यह व्यवसाय शुरू कर सकती हैं। अधिक जानकारी के लिए, कृपया संपर्क करें। धन्यवाद। 
Happy Birthday sir 🎈💐🎂🎉🧨 Khub khub valo thakben  From birnagar,nadia,west bengal	आपकी शुभकामनाओं के लिए धन्यवाद। 
Aap link bhejiye... Aapke business ka	ज़रूर, अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
Sir mai छपरा bihar se hu mai apna market me 20/96का maoul bana hai 50000हजार se bijnesess start karna hai	हाँ जरूर, आप अपना बिजनेस शुरू कर सकते हैं। हम आपको व्यवसाय की पूरी जानकारी देंगे। व्यवसाय के बारे में जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
My name is ram Chaudhary. I am from Gujarat . Me bhi business intranet rakhata hu I love business. I love my dream.	ज़रूर! किसी भी जानकारी के लिए हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Sir 5000 hajarse  shuru krr skte hai kya	आप कम से कम २०,००० से २५,००० का कपडा मंगवा सकते हैं। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Hello sir mujhe aapse thoda information chahiye kya ghar se suit ka kam start karne k liye 30 thousand ka budget kafi hai aur aapke yahan kitne rupee se suit hoty h daily wear and party wear cheap rate please reply	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स टीम से संपर्क करें। धन्यवाद। 
Sir ji kitna price hai saree ka batay nhi	सारे के प्राइस के लिए हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
I love my decem	Bilkul hona chahiye. 
